Наименование;URL;Артикул;Бренд;Path;Коллекция;Тип;Назначение;Управление;Установка;Ширина;Высота;Глубина;Материал;Дизайн;Цвет;Количество монтажных отверстий;Тип излива;Форма излива;Длина излива;Смеситель в комплекте;Ручной душ;Шланг в комплекте;Стандарт подводки;Длина шланга;Верхний душ в комплекте;Страна производителя;Тропический душ в комплекте;Количество режимов душа;Диаметр лейки;Термостат;Размер верхнего душа;Вес;Количество режимов верхнего душа
Душевая стойка Cezares Retro C-CD-01;https://www.aquanet.ru/product/dushevaya_stoyka_cezares_retro_retro_c_cd_01/;RETRO-C-CD-01;Cezares;Главная @ Душевые системы @ Душевые стойки ;Retro;Душевая стойка;Для душа;Двухвентильное;На стену;200;1260;400;Латунь;Модерн;Хром;3;;;;Да;Есть;Есть;01.фев;1500;1500;Италия;Да;;;Нет;200;6;
Душевой гарнитур Cezares Lord SD-02-Bi;https://www.aquanet.ru/product/dushevoy_garnitur_cezares_lord_lord_sd_02_bi/;LORD-SD-02-Bi;Cezares;Главная @ Душевые системы @ Душевые гарнитуры ;Lord;Душевой гарнитур;Для душа;;На стену;120;620;117;Латунь;Модерн;Бронза;2;;;;Нет;Есть;;;1500;1500;Италия;;;;;;4;
Душевая стойка Cezares Nostalgia CVD-01-M;https://www.aquanet.ru/product/dushevaya_stoyka_cezares_nostalgia_nostalgia_cvd_01_m/;NOSTALGIA-CVD-01-M;Cezares;Главная @ Душевые системы @ Душевые стойки ;Nostalgia;Душевая стойка;Для душа;Двухвентильное;На стену;200;1293;458;Латунь;Модерн;Хром;3;Фиксированный;Традиционная;150;Да;Есть;Есть;01.фев;1500;1500;Италия;Да;;;Нет;200;6;
Душевая стойка Cezares Nostalgia CD-01-M;https://www.aquanet.ru/product/dushevaya_stoyka_cezares_nostalgia_nostalgia_cd_01_m/;NOSTALGIA-CD-01-M;Cezares;Главная @ Душевые системы @ Душевые стойки ;Nostalgia;Душевая стойка;Для душа;Двухвентильное;На стену;200;1290;455;Латунь;Модерн;Хром;3;;;;Да;Есть;Есть;01.фев;1500;1500;Италия;Да;;;Нет;200;6;
Душевой гарнитур Cezares Nostalgia SD-01-Bi;https://www.aquanet.ru/product/dushevoy_garnitur_cezares_nostalgia_nostalgia_sd_01_bi/;NOSTALGIA-SD-01-Bi;Cezares;Главная @ Душевые системы @ Душевые гарнитуры ;Nostalgia;Душевой гарнитур;Для душа;;На стену;120;620;117;Латунь;Модерн;Хром;2;;;;Нет;Есть;;;1500;1500;Италия;;;;;;4;
Душевая стойка Cezares Margot CD-03/24-Bi;https://www.aquanet.ru/product/dushevaya_stoyka_cezares_margot_margot_cd_03_24_bi/;MARGOT-CD-03/24-Bi;Cezares;Главная @ Душевые системы @ Душевые стойки ;Margot;Душевая стойка;Для душа;Однорычажное;На стену;210;1340;480;Латунь;Модерн;Золото;3;;;;Да;Есть;Есть;01.фев;1500;1500;Италия;Да;;;Нет;210;6;
Душевой гарнитур Cezares Nostalgia SD-02-Bi;https://www.aquanet.ru/product/dushevoy_garnitur_cezares_nostalgia_nostalgia_sd_02_bi/;NOSTALGIA-SD-02-Bi;Cezares;Главная @ Душевые системы @ Душевые гарнитуры ;Nostalgia;Душевой гарнитур;Для душа;;На стену;120;620;117;Латунь;Модерн;Бронза;2;;;;Нет;Есть;;;1500;1500;Италия;;;;;;4;
Душевая стойка Cezares Venezia CD-02-Bi;https://www.aquanet.ru/product/dushevaya_stoyka_cezares_venezia_venezia_cd_02_bi/;VENEZIA-CD-02-Bi;Cezares;Главная @ Душевые системы @ Душевые стойки ;Venezia;Душевая стойка;Для душа;Однорычажное;На стену;210;1340;480;Латунь;Модерн;Бронза;3;;;;Да;Есть;Есть;01.фев;1500;1500;Италия;Да;;;Нет;210;6;
Душевая стойка Cezares Margot CVDF-02-Bi;https://www.aquanet.ru/product/dushevaya_stoyka_cezares_margot_margot_cvdf_02_bi/;MARGOT-CVDF-02-Bi;Cezares;Главная @ Душевые системы @ Душевые стойки ;Margot;Душевая стойка;Для душа;Двухвентильное;На стену;210;1268;455;Латунь;Модерн;Бронза;3;Поворотный;Традиционная;285;Да;Есть;Есть;01.фев;1500;1500;Италия;Да;;;Нет;210;6;
Душевая стойка Cezares Nostalgia CVD-01-Bi;https://www.aquanet.ru/product/dushevaya_stoyka_cezares_nostalgia_nostalgia_cvd_01_bi/;NOSTALGIA-CVD-01-Bi;Cezares;Главная @ Душевые системы @ Душевые стойки ;Nostalgia;Душевая стойка;Для душа;Двухвентильное;На стену;200;1293;458;Латунь;Модерн;Хром;3;Фиксированный;Традиционная;150;Да;Есть;Есть;01.фев;1500;1500;Италия;Да;;;Нет;200;6;
