Наименование;URL;Артикул;Бренд;Path;Коллекция;Тип;Назначение;Управление;Установка;Ширина;Высота;Глубина;Материал;Дизайн;Цвет;Количество монтажных отверстий;Тип излива;Форма излива;Длина излива;Смеситель в комплекте;Ручной душ;Шланг в комплекте;Стандарт подводки;Длина шланга;Верхний душ в комплекте;Страна производителя;Тропический душ в комплекте;Количество режимов душа;Диаметр лейки;Термостат;Размер верхнего душа;Вес;Количество режимов верхнего душа
Душевая стойка Aquanet Passion RC AF300-70-RC-B;https://www.aquanet.ru/product/dushevaya_stoyka_aquanet_passion_rc_af300_70_rc_b/;AF300-70-RC-B;Aquanet;Главная @ Душевые системы @ Душевые стойки ;Passion;Душевая стойка;Для душа;Однорычажное;На стену;300;900;395;Латунь / Пластик;Модерн;Черный матовый;2;;;;Нет;Есть;Есть;01.фев;1500;1500;Китай;Да;;;Нет;300;мар.17;
Верхний душ Aquanet Passion AF301-84-RM;https://www.aquanet.ru/product/verkhniy_dush_aquanet_passion_af301_84_rm/;AF301-84-RM;Aquanet;Главная @ Душевые системы @ Верхние души ;Passion;Верхний душ;Для душа;;На потолок;200;20;200;Нержавеющая сталь;Модерн;Хром;;;;;;;;01.фев;;;Китай;Нет;;;;200;0.76;
Душевая стойка Aquanet Pragmatic R AF430-70-R-C, с полочкой;https://www.aquanet.ru/product/dushevaya_stoyka_aquanet_pragmatic_r_af430_70_r_c_s_polochkoy/;AF430-70-R-C;Aquanet;Главная @ Душевые системы @ Душевые стойки ;Pragmatic;Душевая стойка;Для душа;;На стену;400;1265;365;Латунь;Модерн;Хром;2;;;;Нет;Есть;Есть;01.фев;1500;1500;Китай;Нет;;;;250;мар.17;
Душевая стойка Aquanet Gotic AF440-72-S-B;https://www.aquanet.ru/product/dushevaya_stoyka_aquanet_gotic_af440_72_s_b/;AF440-72-S-B;Aquanet;Главная @ Душевые системы @ Душевые стойки ;Gotic;Душевая стойка;Для душа;Однорычажное;На стену;;1200;378;Латунь / Пластик;Модерн;Черный матовый;3;Фиксированный;Традиционная;;Да;Есть;Есть;01.фев;;;Китай;Да;;;Нет;;04.мар;
Верхний душ Aquanet Passion AF301-84-SL;https://www.aquanet.ru/product/verkhniy_dush_aquanet_passion_af301_84_sl/;AF301-84-SL;Aquanet;Главная @ Душевые системы @ Верхние души ;Passion;Верхний душ;Для душа;;На потолок;300;20;300;Нержавеющая сталь;Модерн;Хром;;;;;;;;01.фев;;;Китай;Да;;;;300;янв.77;
Верхний душ Aquanet Passion AF301-84-SM;https://www.aquanet.ru/product/verkhniy_dush_aquanet_passion_af301_84_sm/;AF301-84-SM;Aquanet;Главная @ Душевые системы @ Верхние души ;Passion;Верхний душ;Для душа;;На потолок;200;20;200;Нержавеющая сталь;Модерн;Хром;;;;;;;;01.фев;;;Китай;Нет;;;;200;0.89;
Верхний душ Aquanet Passion AF301-84-RL;https://www.aquanet.ru/product/verkhniy_dush_aquanet_passion_af301_84_rl/;AF301-84-RL;Aquanet;Главная @ Душевые системы @ Верхние души ;Passion;Верхний душ;Для душа;;На потолок;300;20;300;Нержавеющая сталь;Модерн;Хром;;;;;;;;01.фев;;;Китай;Да;;;;300;01.май;
Верхний душ Aquanet Passion AF301-84-RXL;https://www.aquanet.ru/product/verkhniy_dush_aquanet_passion_af301_84_rxl/;AF301-84-RXL;Aquanet;Главная @ Душевые системы @ Верхние души ;Passion;Верхний душ;Для душа;;На потолок;400;20;400;Нержавеющая сталь;Модерн;Хром;;;;;;;;01.фев;;;Китай;Да;;;;400;02.май;
Верхний душ Aquanet Passion AF301-84-OS;https://www.aquanet.ru/product/verkhniy_dush_aquanet_passion_af301_84_os/;AF301-84-OS;Aquanet;Главная @ Душевые системы @ Верхние души ;Passion;Верхний душ;Для душа;;На потолок;250;25;170;Нержавеющая сталь;Модерн;Хром;;;;;;;;01.фев;;;Китай;Нет;;;;250;0.78;
Душевая стойка Aquanet Passion RC AF300-70-RC-С;https://www.aquanet.ru/product/dushevaya_stoyka_aquanet_passion_rc_af300_70_rc_s/;AF300-70-RC-С;Aquanet;Главная @ Душевые системы @ Душевые стойки ;Passion;Душевая стойка;Для душа;Однорычажное;На стену;300;900;395;Латунь / Пластик;Модерн;Хром;2;;;;Нет;Есть;Есть;;1500;1500;Китай;Нет;;;Нет;300;мар.17;
Душевая стойка Aquanet Arctic R AF520-72-R-CW;https://www.aquanet.ru/product/dushevaya_stoyka_aquanet_arctic_r_af520_72_r_cw/;AF520-72-R-CW;Aquanet;Главная @ Душевые системы @ Душевые стойки ;Arctic;Душевая стойка;Для ванны с душем;Однорычажное;На стену;200;1450;502;Нержавеющая сталь / Пластик;Модерн;Белый / Хром;3;Поворотный;Традиционная;176;Да;Есть;Есть;01.фев;1500;1500;Китай;Нет;;;Нет;200;май.13;
Душевая стойка Aquanet Pragmatic S AF430-70-S-C, с полочкой;https://www.aquanet.ru/product/dushevaya_stoyka_aquanet_pragmatic_s_af430_70_s_c_s_polochkoy/;AF430-70-S-C;Aquanet;Главная @ Душевые системы @ Душевые стойки ;Pragmatic;Душевая стойка;Для душа;;На стену;400;1265;365;Латунь;Модерн;Хром;2;;;;Нет;Есть;Есть;01.фев;1500;1500;Китай;Нет;;;;250;мар.17;
Душевая стойка Aquanet Logic AF320-72-R-C;https://www.aquanet.ru/product/dushevaya_stoyka_aquanet_logic_af320_72_r_c/;AF320-72-R-C;Aquanet;Главная @ Душевые системы @ Душевые стойки ;Logic;Душевая стойка;Для ванны с душем;Однорычажное;На стену;216;1200;528;Латунь / Пластик;Модерн;Хром;3;Поворотный;Традиционная;;Да;Есть;Есть;01.фев;;;Китай;Нет;;;Нет;215;4;
Душевая стойка Aquanet Arctic R AF520-71-R-CW;https://www.aquanet.ru/product/dushevaya_stoyka_aquanet_arctic_r_af520_71_r_cw/;AF520-71-R-CW;Aquanet;Главная @ Душевые системы @ Душевые стойки ;Arctic;Душевая стойка;Для ванны с душем;Однорычажное;На стену;220;1450;458;Нержавеющая сталь / Пластик;Модерн;Белый / Хром;3;;;;Да;Есть;Есть;01.фев;1500;1500;Китай;Нет;;;Нет;200;апр.75;
Душевая стойка Aquanet Practic R AF100-70-R-C;https://www.aquanet.ru/product/dushevaya_stoyka_aquanet_practic_r_af100_70_r_c/;AF100-70-R-C;Aquanet;Главная @ Душевые системы @ Душевые стойки ;Practic;Душевая стойка;Для душа;;На стену;200;1265;365;Нержавеющая сталь / Пластик;Модерн;Хром;2;;;;Нет;Есть;Есть;01.фев;1500;1500;Китай;Нет;;;;200;мар.17;
Душевой комплект Aquanet Steel AF213-512S;https://www.aquanet.ru/product/dushevoy_komplekt_aquanet_steel_af213_512s/;AF213-512S;Aquanet;Главная @ Душевые системы @ Душевые комплекты ;Steel;Душевой комплект;Для душа;Однорычажное;Скрытая (встраиваемая) / На стену;;;;Нержавеющая сталь;Hi - Tech;Сатин;3;;;;Да;Есть;Есть;01.фев;1500;1500;Китай;Нет;;;;200;03.май;
Душевая стойка Aquanet Steel AF210-72S;https://www.aquanet.ru/product/dushevaya_stoyka_aquanet_steel_af210_72s/;AF210-72S;Aquanet;Главная @ Душевые системы @ Душевые стойки ;Steel;Душевая стойка;Для ванны с душем;Двухвентильное//Термостат;На стену;250;1350;520;Нержавеющая сталь;Модерн;Сатин;3;Фиксированный;Традиционная;190;Да;Есть;Есть;01.фев;1500;1500;Китай;Нет;;;Да;200;7;
Душевая стойка Aquanet Practic AF100-70-S-C;https://www.aquanet.ru/product/dushevaya_stoyka_aquanet_practic_af100_70_s_c/;AF100-70-S-C;Aquanet;Главная @ Душевые системы @ Душевые стойки ;Practic;Душевая стойка;Для душа;;На стену;200;1265;365;Нержавеющая сталь / Пластик;Модерн;Хром;2;;;;Нет;Есть;Есть;01.фев;1500;1500;Китай;Нет;;;;200;мар.17;
Душевая стойка Aquanet Steel V2 AF212-71S;https://www.aquanet.ru/product/dushevaya_stoyka_aquanet_steel_v2_af212_71s/;AF212-71S;Aquanet;Главная @ Душевые системы @ Душевые стойки ;Steel;Душевая стойка;Для ванны с душем;Однорычажное;На стену;386;1350;546;Нержавеющая сталь;Hi - Tech;Сатин;3;;;;Да;Есть;Есть;01.фев;1500;1500;Китай;Нет;;;Нет;200;09.апр;
Душевая стойка Aquanet Steel AF210-71TS;https://www.aquanet.ru/product/dushevaya_stoyka_aquanet_steel_af210_71ts/;AF210-71TS;Aquanet;Главная @ Душевые системы @ Душевые стойки ;Steel;Душевая стойка;Для ванны с душем;Однорычажное;На стену;;;;Нержавеющая сталь;Hi - Tech;Сатин;3;;;;Да;Есть;Есть;01.фев;1500;1500;Китай;Нет;;;Нет;200;июн.15;
Душевая стойка Kanggu JA-82158;https://www.aquanet.ru/product/kanggu_ja_82158/;JA-82158;Kanggu;Главная @ Душевые системы @ Душевые стойки ;JA;Душевая стойка;Для душа;Однорычажное;На стену;;1400;380;Нержавеющая сталь;Hi - Tech;Хром;3;Фиксированный;Традиционная;;Да;Есть;Есть;01.фев;;;Китай;Да;1;;Нет;300;;1
Душевая стойка Gllon SF087-CS;https://www.aquanet.ru/product/gllon_sf087_cs/;SF087-CS;Gllon;Главная @ Душевые системы @ Душевые стойки ;;Душевая стойка;Для душа;Однорычажное;На стену;250;900;400;Алюминий;Hi - Tech;Хром матовый;3;;;;Да;Есть;Есть;01.фев;;;Китай;;1;;Нет;170;;1
Душевой гарнитур Hansgrohe PuraVida 27853400;https://www.aquanet.ru/product/hansgrohe_puravida_27853400/;27853400;Hansgrohe;Главная @ Душевые системы @ Душевые гарнитуры ;PuraVida;Душевой гарнитур;Для душа;;На стену;;995;374;Нержавеющая сталь;Модерн;Хром/белый;2;;;;Нет;Есть;;;1600;1600;Германия;;3;;;;2.254;3
Душевая стойка Kanggu JA-80501-5;https://www.aquanet.ru/product/kanggu_ja_80501_5/;JA-80501-5;Kanggu;Главная @ Душевые системы @ Душевые стойки ;JA;Душевая стойка;Для душа;;На стену;233;1060;260;Нержавеющая сталь;Hi - Tech;Графит;4;;;;Да;Есть;Есть;01.фев;;;Китай;Да;1;;Нет;200;;1
Душевой гарнитур Hansgrohe Raindance Select 150 27803400;https://www.aquanet.ru/product/hansgrohe_raindance_select_150_27803400/;27803400;Hansgrohe;Главная @ Душевые системы @ Душевые гарнитуры ;Raindance;Душевой гарнитур;Для душа;;На стену;;1008;344;Латунь;Hi - Tech;Хром/белый;2;;;;Нет;Есть;;;1600;1600;Германия;;2;;;;1.847;2
Душевая стойка Bravat Opal F9125183CP-A-RUS;https://www.aquanet.ru/product/bravat_opal_f9125183cp_a_rus/;F9125183CP-A-RUS;Bravat;Главная @ Душевые системы @ Душевые стойки ;Opal;Душевая стойка;Для душа;Однорычажное;На стену;200;1280;547;Нержавеющая сталь;Hi - Tech;Хром;3;;;;Да;Есть;Есть;01.фев;1500;1500;Китай;Да;;;Нет;200;апр.65;
Душевая лейка Bravat Eco P70135CP-1-RUS;https://www.aquanet.ru/product/bravat_eco_p70135cp/;P70135CP-1-RUS;Bravat;Главная @ Душевые системы @ Душевые лейки ;Eco;Душевая лейка;Для душа;;На шланг;80;220;;Пластик;Модерн;Хром;;;;;;;Нет;01.фев;;;Китай;;1;;;;0.258;1
Гигиенический душ Hansgrohe 32128000;https://www.aquanet.ru/product/hansgrohe_32128000/;32128000;Hansgrohe;Главная @ Душевые системы @ Гигиенический душ ;;Гигиенический душ;Для унитаза;;На стену;116;;;Пластик;Модерн;Хром;;;;;;;Есть;01.фев;1600;1600;Германия;;;;;;0.46;
Душевой гарнитур Hansgrohe PuraVida 27853000;https://www.aquanet.ru/product/hansgrohe_puravida_27853000/;27853000;Hansgrohe;Главная @ Душевые системы @ Душевые гарнитуры ;PuraVida;Душевой гарнитур;Для душа;;На стену;;995;374;Нержавеющая сталь;Модерн;Хром;2;;;;Нет;Есть;;;1600;1600;Германия;;3;;;;2.246;3
Душевая стойка Hansgrohe Croma 220 Showerpipe 27185000;https://www.aquanet.ru/product/hansgrohe_croma_220_showerpipe_27185000/;27185000;Hansgrohe;Главная @ Душевые системы @ Душевые стойки ;Croma;Душевая стойка;Для душа;Термостат;На стену;304;1213;508;Нержавеющая сталь;Модерн;Хром;3;;;;Да;Есть;Есть;01.фев;1600;1600;Германия;Да;1;;Да;220;6.948;1
Душевая лейка Bravat Eco P70136CP-1-RUS;https://www.aquanet.ru/product/bravat_eco_p70136cp/;P70136CP-1-RUS;Bravat;Главная @ Душевые системы @ Душевые лейки ;Eco;Душевая лейка;Для душа;;На шланг;80;225;;Пластик;Модерн;Хром;;;;;;;Нет;01.фев;;;Китай;;3;;;;0.258;3
Душевая стойка Bravat Opal F6125183CP-A-RUS;https://www.aquanet.ru/product/bravat_opal_f6125183cp_a_rus/;F6125183CP-A-RUS;Bravat;Главная @ Душевые системы @ Душевые стойки ;Opal;Душевая стойка;Для душа;Однорычажное;На стену;200;1280;;Нержавеющая сталь;Hi - Tech;Хром;3;Поворотный;Традиционная;;Да;Есть;Есть;01.фев;1500;1500;Китай;Да;;;Нет;200;07.июл;
Душевая лейка Hansgrohe Raindance Select E 150 26550000;https://www.aquanet.ru/product/hansgrohe_raindance_select_e_150_26550000/;26550000;Hansgrohe;Главная @ Душевые системы @ Душевые лейки ;Raindance;Душевая лейка;Для душа;;На шланг;150;260;;Пластик;Hi - Tech;Хром;;;;;;;Нет;01.фев;;;Германия;;3;;;;0.461;3
Шланг для душа Bravat P7231N-1-RUS;https://www.aquanet.ru/product/bravat_p7231n_1/;P7231N-1-RUS;Bravat;Главная @ Душевые системы @ Шланги для душа ;;Гибкий шланг для душа;Для душа;;;;;;Пластик;;Серебро;;;;;;;;;;;Китай;;;;;;0.4;
Душевая стойка Kanggu SD4366;https://www.aquanet.ru/product/kanggu_sd4366/;SD4366;Kanggu;Главная @ Душевые системы @ Душевые стойки ;;Душевая стойка;Для душа;;На стену;200;1300;;Нержавеющая сталь;Hi - Tech;Хром;4;;;;Да;Есть;Есть;01.фев;;;Китай;Да;1;;Нет;200;02.апр;1
Душевая стойка Kanggu JA-80105T;https://www.aquanet.ru/product/kanggu_ja_80105t/;JA-80105T;Kanggu;Главная @ Душевые системы @ Душевые стойки ;JA;Душевая стойка;;Кнопочное;На стену;;1205;;Нержавеющая сталь;Модерн;Хром;4;;;;Да;Есть;Есть;01.фев;;;Китай;Да;1;;Нет;200;;1
Душевая стойка Bravat Eco F6111147C-A-RUS;https://www.aquanet.ru/product/bravat_eco_f6111147c_a_rus/;F6111147C-A-RUS;Bravat;Главная @ Душевые системы @ Душевые стойки ;Eco;Душевая стойка;Для душа;Однорычажное;На стену;200;1280;547;Нержавеющая сталь;Модерн;Хром;3;Поворотный;Традиционная;;Да;Есть;Есть;01.фев;1500;1500;Китай;Да;1;;Нет;200;04.апр;1
Душевая стойка Bravat Waterfall F939114C-A3-RUS;https://www.aquanet.ru/product/bravat_waterfall_f939114c_a3_rus/;F939114C-A5-RUS;Bravat;Главная @ Душевые системы @ Душевые стойки ;Waterfall;Душевая стойка;Для душа;Термостат;На стену;218;1198;490;Нержавеющая сталь;Модерн;Хром;3;;;;Да;Есть;Есть;01.фев;1500;1500;Китай;Да;;;Да;220;06.сен;
Душевая стойка Bravat Eco F9111147C-A-RUS;https://www.aquanet.ru/product/bravat_eco_f9111147c_a_rus/;F9111147C-A-RUS;Bravat;Главная @ Душевые системы @ Душевые стойки ;Eco;Душевая стойка;Для душа;Однорычажное;На стену;200;1280;548;Нержавеющая сталь;Модерн;Хром;3;;;;Да;Есть;Есть;01.фев;1500;1500;Китай;Да;;;Нет;200;апр.65;
Шланг для душа Bravat P7234CP-RUS;https://www.aquanet.ru/product/bravat_p7234cp/;P7234CP-RUS;Bravat;Главная @ Душевые системы @ Шланги для душа ;;Гибкий шланг для душа;Для душа;;;;;;Нержавеющая сталь;;Сталь;;;;;;;;;;;Китай;;;;;;0.38;
Душевая стойка Jacob Delafon July E5523-CP;https://www.aquanet.ru/product/jacob_delafon_july_e5523_cp/;E5523-CP;Jacob Delafon;Главная @ Душевые системы @ Душевые стойки ;July;Душевая стойка;Для душа;Термостат;На стену;283;1150;545;Латунь;Hi - Tech;Хром;3;;;;Да;Есть;Есть;01.фев;1600;1600;Китай;Да;4;;Да;200;06.июн;4
Душевая лейка Bravat Stream P70138CP-1A-RUS;https://www.aquanet.ru/product/bravat_stream_p70138cp/;P70138CP-1A-RUS;Bravat;Главная @ Душевые системы @ Душевые лейки ;Stream;Душевая лейка;Для душа;;На шланг;100;242;;Пластик;Модерн;Хром;;;;;;;Нет;01.фев;;;Китай;;5;;;;0.363;5
Шланг для душа Bravat P7234CP-1-RUS;https://www.aquanet.ru/product/bravat_p7234cp_1/;P7234CP-1-RUS;Bravat;Главная @ Душевые системы @ Шланги для душа ;;Гибкий шланг для душа;Для душа;;;;;;Нержавеющая сталь;;Сталь;;;;;;;;;;;Китай;;;;;;0.44;
Шланг для душа Bravat P7233CP-RUS;https://www.aquanet.ru/product/bravat_p7233cp/;P7233CP-RUS;Bravat;Главная @ Душевые системы @ Шланги для душа ;;Гибкий шланг для душа;Для душа;;;;;;ПВХ / Сталь;;Черный/серебро;;;;;;;;;;;Китай;;;;;;0.32;
Шланг для душа Bravat P7233CP-1-RUS;https://www.aquanet.ru/product/bravat_p7233cp_1/;P7233CP-1-RUS;Bravat;Главная @ Душевые системы @ Шланги для душа ;;Гибкий шланг для душа;Для душа;;;;;;ПВХ / Сталь;;Черный/серебро;;;;;;;;;;;Китай;;;;;;0.37;
Душевая стойка Jacob Delafon Talan E11717-CP;https://www.aquanet.ru/product/jacob_delafon_talan_e11717_cp/;E11717-CP;Jacob Delafon;Главная @ Душевые системы @ Душевые стойки ;Talan;Душевая стойка;Для душа;Термостат;На стену;312;1141;542;Латунь;Hi - Tech;Хром;3;;;;Да;Есть;Есть;01.фев;1600;1600;Китай;Да;;;Да;250;июн.45;
Душевая стойка Bravat Opal F9125183CP-A1-RUS;https://www.aquanet.ru/product/bravat_opal_f9125183cp_a1_rus/;F9125183CP-A1-RUS;Bravat;Главная @ Душевые системы @ Душевые стойки ;Opal;Душевая стойка;Для душа;Однорычажное;На стену;200;1280;548;Нержавеющая сталь;Hi - Tech;Хром;3;;;;Да;Есть;Есть;01.фев;1500;1500;Китай;Да;;;Нет;200;апр.65;
Душевая стойка Bravat FIT-S D283CP-2A-RUS;https://www.aquanet.ru/product/bravat_fit_s_d283cp_2a_rus/;D283CP-2A-RUS;Bravat;Главная @ Душевые системы @ Душевые стойки ;Fit;Душевая стойка;Для душа;;На стену;200;1065;;Нержавеющая сталь/пластик;Модерн;Хром;2;;;;Нет;Есть;Есть;01.фев;1500;1500;Китай;Да;;;Нет;200;03.сен;
Верхний душ Gllon SL09;https://www.aquanet.ru/product/gllon_sl09/;SL09;Gllon;Главная @ Душевые системы @ Верхние души ;;Верхний душ;Для душа;;На стену;223;79;223;Нержавеющая сталь;Hi - Tech;Хром;;;;;;;;01.фев;;;Китай;Нет;2;;;223;;2
Душевая стойка Jacob Delafon EO E11716-CP;https://www.aquanet.ru/product/jacob_delafon_eo_e11716_cp/;E11716-CP;Jacob Delafon;Главная @ Душевые системы @ Душевые стойки ;EO;Душевая стойка;Для душа;;На стену;;913;545;Нержавеющая сталь;Hi - Tech;Хром;2;;;;Нет;Есть;Есть;01.фев;1600;1600;Китай;Да;2;;Нет;280;05.май;2
Душевая стойка Bravat FIT-R D283CP-2-RUS;https://www.aquanet.ru/product/bravat_fit_r_d283cp_2_rus/;D283CP-2-RUS;Bravat;Главная @ Душевые системы @ Душевые стойки ;Fit;Душевая стойка;Для душа;;На стену;200;1065;;Нержавеющая сталь/пластик;Модерн;Хром;2;;;;Нет;Есть;Есть;01.фев;1500;1500;Китай;Да;;;Нет;200;03.сен;
Душевая стойка Bravat Waterfall F639114C-A5-RUS;https://www.aquanet.ru/product/bravat_waterfall_f639114c_a3_rus/;F639114C-A5-RUS;Bravat;Главная @ Душевые системы @ Душевые стойки ;Waterfall;Душевая стойка;Для душа;Термостат;На стену;;1202;;Нержавеющая сталь;Модерн;Хром;3;Фиксированный;Традиционная;86;Да;Есть;Есть;01.фев;1500;1500;Китай;Да;;;Да;300;06.сен;
Гигиенический душ Bravat D91112CP-RUS;https://www.aquanet.ru/product/gigienicheskiy-dush-bravat-d9112cp-rus/;D91112CP-RUS;Bravat;Главная @ Душевые системы @ Гигиенический душ ;;Гигиенический душ;Для унитаза;;На стену;;;;Пластик;Модерн;Хром;;;;;;;Есть;01.фев;1500;1500;Китай;;;;;;0.583;
Гигиенический душ Mariani 24B/DD;https://www.aquanet.ru/product/gigienicheskiy-dush-mariani-24b-dd/;24B/DD;Mariani;Главная @ Душевые системы @ Гигиенический душ ;;Гигиенический душ;Для унитаза;Вентильное;На стену;;;;Латунь;Модерн;Хром;;;;;;;Есть;01.фев;1200;1200;Италия;;;;;;02.авг;
Душевая стойка Bravat Art F65193CP-A2-RUS;https://www.aquanet.ru/product/dushevaya-stoyka-bravat-art-f65193cp-a1-rus/;F65193CP-A2-RUS;Bravat;Главная @ Душевые системы @ Душевые стойки ;Art;Душевая стойка;Для душа;Двухвентильное;На стену;298;1336;;Латунь;Классический;Хром;4;Поворотный;Традиционная;141;Да;Есть;Есть;01.фев;1500;1500;Китай;Да;1;;Нет;216;6.449;1
Душевая стойка Aquanet Passion S3;https://www.aquanet.ru/product/dushevaya_stoyka_aquanet_passion_s3/;Passion S3;Aquanet;Главная @ Душевые системы @ Душевые стойки ;Passion;Душевая стойка;Для душа;Однорычажное;На стену;210;1230;494;Нержавеющая сталь;Модерн;Хром;2;Поворотный;Традиционная;173;Да;Есть;Есть;01.фев;1500;1500;Китай;Да;;;Нет;200;05.фев;
Душевая стойка Mariani Retro RT4436 63;https://www.aquanet.ru/product/dushevaya-stoyka-mariani-retro-rt4436-63/;RT4436 63;Mariani;Главная @ Душевые системы @ Душевые стойки ;Retro;Душевая стойка;Для душа;Двухвентильное;На стену;220;1270;;Нержавеющая сталь;Классический;Бронза;3;;;;Да;Есть;Есть;01.фев;1500;1500;Италия;Нет;;;Нет;150;;
Душевая стойка Mariani Revival V4436 63;https://www.aquanet.ru/product/dushevaya-stoyka-mariani-revival-v4436-63/;V4436 63;Mariani;Главная @ Душевые системы @ Душевые стойки ;Revival;Душевая стойка;Для душа;Двухвентильное;На стену;220;1220;;Нержавеющая сталь;Классический;Бронза;3;;;;Да;Есть;Есть;01.фев;1500;1500;Италия;Нет;;;Нет;150;06.июл;
Душевая стойка Mariani Revival V4436 DO;https://www.aquanet.ru/product/dushevaya-stoyka-mariani-revival-v4436-do/;V4436 DO;Mariani;Главная @ Душевые системы @ Душевые стойки ;Revival;Душевая стойка;Для душа;Двухвентильное;На стену;220;1220;;Нержавеющая сталь;Классический;Золото;3;;;;Да;Есть;Есть;01.фев;1500;1500;Италия;Нет;;;Нет;150;;
Душевая панель Aquanet Galaxy White;https://www.aquanet.ru/product/dushevaya_panel_aquanet_galaxy_white/;209999;Aquanet;Главная @ Душевые системы @ Душевые панели ;Galaxy;Душевая панель;Для душа;Однорычажное;;200;1500;450;Алюминий;Модерн;Белый;;;;;;Есть;;;;;Китай;Да;;;Нет;;06.авг;
Верхний душ Mariani S000430;https://www.aquanet.ru/product/verkhniy-dush-mariani-s000430/;S000430;Mariani;Главная @ Душевые системы @ Верхние души ;;Верхний душ;Для душа;;На потолок / На стену;300;18;300;Нержавеющая сталь;Модерн;Хром;;;;;;;;01.фев;;;Италия;Нет;;;;300;02.июл;
Верхний душ Mariani ST00130;https://www.aquanet.ru/product/verkhniy-dush-mariani-st00130/;ST00130;Mariani;Главная @ Душевые системы @ Верхние души ;;Верхний душ;Для душа;;На потолок / На стену;300;18;300;Нержавеющая сталь;Модерн;Хром;;;;;;;;01.фев;;;Италия;Нет;;;;300;01.апр;
Душевая панель Aquanet Galaxy Matt;https://www.aquanet.ru/product/dushevaya_panel_aquanet_galaxy_matt/;209998;Aquanet;Главная @ Душевые системы @ Душевые панели ;Galaxy;Душевая панель;Для душа;Однорычажное;;200;1500;450;Нержавеющая сталь;Модерн;Хром матовый;;;;;;Есть;;;;;Китай;Да;;;Нет;;08.авг;
Душевая стойка Aquanet Passion R3;https://www.aquanet.ru/product/dushevaya_stoyka_aquanet_passion_r3/;Passion R3;Aquanet;Главная @ Душевые системы @ Душевые стойки ;Passion;Душевая стойка;Для душа;Однорычажное;На стену;210;1230;494;Нержавеющая сталь;Модерн;Хром;2;Поворотный;Традиционная;173;Да;Есть;Есть;01.фев;1500;1500;Китай;Да;;;Нет;200;апр.91;
Верхний душ Mariani S000425;https://www.aquanet.ru/product/verkhniy-dush-mariani-s000425/;S000425;Mariani;Главная @ Душевые системы @ Верхние души ;;Верхний душ;Для душа;;На потолок / На стену;250;18;250;Нержавеющая сталь;Модерн;Хром;;;;;;;;01.фев;;;Италия;Нет;;;;250;;
Душевая стойка Aquanet Passion R;https://www.aquanet.ru/product/dushevaya_stoyka_aquanet_passion_r/;Passion R;Aquanet;Главная @ Душевые системы @ Душевые стойки ;Passion;Душевая стойка;Для душа;Однорычажное;На стену;200;840;355;Нержавеющая сталь;Модерн;Хром;2;;;;Нет;Есть;Есть;01.фев;1500;1500;Китай;Да;;;Нет;200;фев.38;
Душевая стойка Aquanet Passion S;https://www.aquanet.ru/product/dushevaya_stoyka_aquanet_passion_s/;Passion S;Aquanet;Главная @ Душевые системы @ Душевые стойки ;Passion;Душевая стойка;Для душа;Однорычажное;На стену;200;840;355;Нержавеющая сталь;Модерн;Хром;2;;;;Нет;Есть;Есть;01.фев;1500;1500;Китай;Да;;;Нет;200;фев.49;
Душевая панель Aquanet Galaxy Black AP40-05;https://www.aquanet.ru/product/dushevaya_panel_aquanet_galaxy_black_ap40_05/;AP40-05;Aquanet;Главная @ Душевые системы @ Душевые панели ;Galaxy;Душевая панель;Для душа;Однорычажное;;200;1500;450;Алюминий;Модерн;Черный;;;;85;;Есть;;;;;Китай;Да;;;Нет;;10;
Душевая панель Aquanet Galaxy Shine;https://www.aquanet.ru/product/dushevaya_panel_aquanet_galaxy_shine/;209997;Aquanet;Главная @ Душевые системы @ Душевые панели ;Galaxy;Душевая панель;Для душа;Однорычажное;;200;1500;450;Нержавеющая сталь;Модерн;Хром;;;;;;Есть;;;;;Китай;Да;;;Нет;;09.янв;
Верхний душ Aquanet Classic ARB06T1;https://www.aquanet.ru/product/verkhniy_dush_aquanet_classic_arb06t1/;202250;Aquanet;Главная @ Душевые системы @ Верхние души ;Classic;Верхний душ;Для душа;;На стену;150;145;150;Латунь;Классический;Хром;;;;;;;;01.фев;;;;Нет;;;;150;;
Душевая стойка Aquanet Passion R2;https://www.aquanet.ru/product/dushevaya_stoyka_aquanet_passion_r2/;Passion R2;Aquanet;Главная @ Душевые системы @ Душевые стойки ;Passion;Душевая стойка;Для душа;Однорычажное;На стену;210;1230;494;Нержавеющая сталь;Модерн;Хром;2;;;;Да;Есть;Есть;01.фев;1500;1500;Китай;Да;;;Нет;200;апр.71;
Душевая стойка Aquanet Passion S2;https://www.aquanet.ru/product/dushevaya_stoyka_aquanet_passion_s2/;Passion S2;Aquanet;Главная @ Душевые системы @ Душевые стойки ;Passion;Душевая стойка;Для душа;Однорычажное;На стену;210;1230;494;Нержавеющая сталь;Модерн;Хром;2;;;;Да;Есть;Есть;01.фев;1500;1500;Китай;Да;;;Нет;200;апр.76;
